Data transakcji,Kategoria,Produkt,Liczba,Cena,Wartość
2015-01-01 18:42:41,Odzież,Koszulka,3,15.0,45.0
2015-01-06 16:18:03,Odzież,Kurtka,3,50.0,150.0
2015-01-23 06:01:39,Odzież,Kurtka,5,50.0,250.0
2015-01-09 20:03:48,Odzież,Spodnie,5,30.0,150.0
2015-01-19 03:55:20,Spożywcze,Jogurt,5,2.5,12.5
2015-01-25 18:04:47,Spożywcze,Mleko,1,3.0,3.0
2015-01-07 08:50:33,Spożywcze,Chleb,1,2.0,2.0
2015-01-16 02:14:01,Spożywcze,Jogurt,1,2.5,2.5
2015-01-22 13:51:12,Elektronika,Telefon,4,800.0,3200.0
2015-01-02 18:36:45,Elektronika,Telefon,5,800.0,4000.0
2015-02-14 09:58:17,Odzież,Koszulka,3,15.0,45.0
2015-02-13 01:35:40,Odzież,Koszulka,5,15.0,75.0
2015-02-04 01:12:18,Odzież,Spodnie,1,30.0,30.0
2015-02-08 18:13:03,Odzież,Spodnie,3,30.0,90.0
2015-02-12 03:57:35,Odzież,Spodnie,2,30.0,60.0
2015-02-15 07:02:52,Spożywcze,Jogurt,3,2.5,7.5
2015-02-03 13:13:16,Odzież,Koszulka,5,15.0,75.0
2015-02-11 16:11:11,Elektronika,Laptop,1,2500.0,2500.0
2015-02-27 00:27:07,Spożywcze,Jogurt,1,2.5,2.5
2015-02-02 13:36:58,Spożywcze,Jogurt,2,2.5,5.0
2015-03-05 18:59:17,Odzież,Kurtka,3,50.0,150.0
2015-03-15 08:25:47,Spożywcze,Mleko,2,3.0,6.0
2015-03-16 14:43:33,Odzież,Koszulka,3,15.0,45.0
2015-03-26 19:58:30,Spożywcze,Jogurt,2,2.5,5.0
2015-03-21 02:50:56,Odzież,Koszulka,1,15.0,15.0
2015-03-14 09:46:23,Odzież,Spodnie,4,30.0,120.0
2015-03-06 14:15:50,Odzież,Kurtka,2,50.0,100.0
2015-03-17 02:29:03,Odzież,Kurtka,1,50.0,50.0
2015-03-01 20:30:02,Spożywcze,Mleko,5,3.0,15.0
2015-03-08 07:22:55,Elektronika,Kamera,4,1200.0,4800.0
2015-04-16 16:21:45,Spożywcze,Chleb,5,2.0,10.0
2015-04-22 05:26:46,Elektronika,Telefon,5,800.0,4000.0
2015-04-18 12:02:38,Elektronika,Laptop,4,2500.0,10000.0
2015-04-10 08:46:08,Odzież,Spodnie,4,30.0,120.0
2015-04-10 08:38:39,Spożywcze,Jogurt,3,2.5,7.5
2015-04-14 06:21:05,Spożywcze,Chleb,1,2.0,2.0
2015-04-12 22:28:55,Odzież,Kurtka,2,50.0,100.0
2015-04-15 10:37:16,Spożywcze,Jogurt,3,2.5,7.5
2015-04-07 13:30:59,Spożywcze,Jogurt,1,2.5,2.5
2015-04-24 04:35:38,Odzież,Koszulka,3,15.0,45.0
2015-05-25 19:44:21,Odzież,Spodnie,1,30.0,30.0
2015-05-25 07:03:22,Elektronika,Kamera,1,1200.0,1200.0
2015-05-21 02:50:29,Spożywcze,Mleko,1,3.0,3.0
2015-05-05 07:53:38,Odzież,Koszulka,4,15.0,60.0
2015-05-04 06:07:16,Elektronika,Kamera,1,1200.0,1200.0
2015-05-27 17:45:40,Spożywcze,Jogurt,1,2.5,2.5
2015-05-19 21:35:12,Odzież,Kurtka,4,50.0,200.0
2015-05-22 12:51:53,Elektronika,Kamera,3,1200.0,3600.0
2015-05-27 10:31:33,Elektronika,Laptop,2,2500.0,5000.0
2015-05-20 08:57:17,Elektronika,Kamera,2,1200.0,2400.0
2015-06-24 20:19:41,Spożywcze,Mleko,3,3.0,9.0
2015-06-10 01:45:33,Spożywcze,Mleko,3,3.0,9.0
2015-06-15 10:33:04,Elektronika,Kamera,5,1200.0,6000.0
2015-06-13 02:29:45,Elektronika,Kamera,2,1200.0,2400.0
2015-06-18 16:04:52,Elektronika,Telefon,2,800.0,1600.0
2015-06-11 02:52:07,Odzież,Kurtka,1,50.0,50.0
2015-06-10 09:52:10,Odzież,Spodnie,1,30.0,30.0
2015-06-13 00:44:55,Elektronika,Laptop,2,2500.0,5000.0
2015-06-13 01:03:49,Elektronika,Telefon,1,800.0,800.0
2015-06-11 15:40:53,Odzież,Koszulka,4,15.0,60.0
2015-07-06 11:54:00,Elektronika,Kamera,5,1200.0,6000.0
2015-07-27 12:57:45,Spożywcze,Chleb,5,2.0,10.0
