Data transakcji,Kategoria,Produkt,Liczba,Cena,Wartość
2015-01-27 05:49:46,Elektronika,Laptop,2,2500,5000
2015-01-18 19:24:58,Elektronika,Laptop,4,2500,10000
2015-01-12 02:18:47,Elektronika,Laptop,4,2500,10000
2015-01-23 10:38:45,Elektronika,Laptop,4,2500,10000
2015-01-17 10:13:02,Elektronika,Laptop,3,2500,7500
2015-01-23 15:47:13,Elektronika,Laptop,1,2500,2500
2015-01-07 09:31:36,Elektronika,Laptop,5,2500,12500
2015-01-02 15:51:18,Elektronika,Laptop,5,2500,12500
2015-01-16 22:49:07,Elektronika,Laptop,2,2500,5000
2015-01-26 12:42:55,Elektronika,Laptop,5,2500,12500
2015-02-15 08:32:53,Elektronika,Laptop,2,2500,5000
2015-02-03 09:38:49,Elektronika,Laptop,3,2500,7500
2015-02-08 13:11:08,Elektronika,Laptop,2,2500,5000
2015-02-25 01:34:42,Elektronika,Laptop,2,2500,5000
2015-02-23 00:00:06,Elektronika,Laptop,3,2500,7500
2015-02-25 06:47:33,Elektronika,Laptop,4,2500,10000
2015-02-25 20:07:16,Elektronika,Laptop,2,2500,5000
2015-02-19 12:53:52,Elektronika,Laptop,3,2500,7500
2015-02-06 05:16:13,Elektronika,Laptop,4,2500,10000
2015-02-12 12:19:31,Elektronika,Laptop,4,2500,10000
2015-03-20 12:35:34,Elektronika,Laptop,3,2500,7500
2015-03-04 14:50:48,Elektronika,Laptop,4,2500,10000
2015-03-07 06:14:08,Elektronika,Laptop,2,2500,5000
2015-03-03 18:45:58,Elektronika,Laptop,4,2500,10000
2015-03-08 11:34:02,Elektronika,Laptop,2,2500,5000
2015-03-05 23:02:37,Elektronika,Laptop,4,2500,10000
2015-03-02 18:33:32,Elektronika,Laptop,5,2500,12500
2015-03-16 08:01:37,Elektronika,Laptop,5,2500,12500
2015-03-10 10:38:34,Elektronika,Laptop,2,2500,5000
2015-03-08 21:33:48,Elektronika,Laptop,2,2500,5000
2015-04-04 20:23:01,Elektronika,Laptop,1,2500,2500
2015-04-12 01:50:05,Elektronika,Laptop,4,2500,10000
2015-04-21 16:09:46,Elektronika,Laptop,2,2500,5000
2015-04-26 04:04:45,Elektronika,Laptop,5,2500,12500
2015-04-18 23:31:24,Elektronika,Laptop,3,2500,7500
